시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
부산광역시 사하구,41155.4,301987,26140,0.615320237,0.034070332,0.079195642,33537,0.342932575,0.687066,6738,0.022237624,5220,850,0.008940782,10,0.569,0.3037,82,131,0
부산광역시 서구,12733.5,105192,2262,0.396709136,0.020414025,0.118339796,33378,0.412219692,0.647121454,2838,0.027073953,2688,850,0.0050289,17,0.54,0.4036,712,41,0
부산광역시 수영구,22792.4,174806,1203,0.463828676,0.023741124,0.207837431,36057,0.402007238,0.681034976,2330,0.013705318,6101,850,0.017299177,1,0.559,0.3894,255,375,0
부산광역시 연제구,28870.5,203536,1896,0.577875317,0.013865076,0.114292573,36820,0.330852936,0.680798483,1566,0.007839761,5126,770,0.003041231,21,0.571,0.3636,2472,116,0
부산광역시 영도구,11576.3,108156,9353,0.523352861,0.020303346,0.059545783,31815,0.38674665,0.624080033,2813,0.025598559,2276,850,0.005094493,2,0.527,0.3758,175,281,0
부산광역시 중구,17329.7,39689,770,0.224728449,0.028980818,0.205130575,30858,0.534689161,0.665423669,2560,0.062218982,4495,850,0,2,0.573,0.5164,268,30,0
부산광역시 해운대구,44727.6,386785,5934,0.68128919,0.012652789,0.072990156,41269,0.308405512,0.691709865,6171,0.016360065,14593,850,0.002391509,4,0.552,0.3467,180,1469,0
서울특별시 강남구,103389.1,529102,17236,0.587823943,0.0236707,0.130447673,58851,0.346255747,0.728139376,10387,0.020767811,44488,490,0.000661498,0,0.583,0.5566,25475,885,0
서울특별시 강서구,67334.2,569166,6781,0.445564548,0.01753359,0.252196118,38424,0.395595977,0.733603202,10504,0.01889212,15240,490,0.000614935,7,0.626,0.4078,111,455,0
서울특별시 구로구,53145.3,395315,14921,0.481586971,0.040377479,0.164405418,35107,0.348506157,0.713942046,45507,0.107318212,9150,490,0.007983507,0,0.645,0.4443,4738,293,0
서울특별시 동대문구,39354.4,336644,9214,0.424675458,0.02022936,0.104424291,34627,0.43722741,0.721572343,23258,0.066317089,7689,490,0.002970497,0,0.531,0.4561,8337,225,0
서울특별시 마포구,52156.2,364638,4059,0.436634602,0.017083024,0.206856156,41286,0.422878813,0.751707173,14593,0.040266771,19336,490,0.004936403,4,0.627,0.4827,3908,363,0
서울특별시 서대문구,42263.4,306337,1531,0.410429056,0.036510515,0.195982153,37249,0.3990503,0.723689923,18128,0.056951129,8665,490,0.002327502,0,0.582,0.4787,4251,143,0
서울특별시 서초구,66302.7,404325,5796,0.573848813,0.03089253,0.164639317,60102,0.302613436,0.717652878,8470,0.022104436,22404,490,0.001607618,0,0.607,0.5542,15216,0,0
서울특별시 성동구,31496.8,281000,22890,0.540362814,0.016154892,0.077657419,42067,0.378830174,0.735113879,11809,0.041856443,9389,490,0.001380783,0,0.62,0.5279,1216,364,0
서울특별시 성북구,44266.8,430397,5511,0.444165416,0.03155915,0.158529559,38741,0.36539256,0.720692756,16620,0.038109389,8053,490,0.011617181,2,0.571,0.4445,3395,182,0
